spec,outcome,term,coefficient,se,ci_lower,ci_upper,p_value,N,reference_age_band
H2_implied_total_by_band,waz,_sani_hh_binary__band_0-5,-0.11263687158212338,0.07523613529923796,-0.26009698710461243,0.03482324394036568,,36308,12-23
H2_implied_total_by_band,waz,_sani_hh_binary__band_6-11,-0.038336099053511735,0.07423241129905085,-0.18382895168521557,0.1071567535781921,,36308,12-23
H2_implied_total_by_band,waz,_sani_hh_binary__band_12-23,0.1710143888714885,0.0549565736058023,0.06330148389039147,0.27872729385258554,,36308,12-23
H2_implied_total_by_band,waz,_sani_hh_binary__band_24-35,0.12157451700332703,0.05284403394336844,0.018002113676512763,0.22514692033014128,,36308,12-23
H2_implied_total_by_band,waz,_sani_hh_binary__band_36-47,0.05944143933448641,0.04971905340108481,-0.038006114677063496,0.15688899334603632,,36308,12-23
H2_implied_total_by_band,waz,_sani_hh_binary__band_48-59,0.012218031624389947,0.047804903035662705,-0.08147785660993845,0.10591391985871834,,36308,12-23
H2_household_cluster_fe,whz,_water_hh_binary,-0.0011747109495819216,0.0582650253014028,-0.11537206209864641,0.11302264019948256,0.9839145313979898,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary,0.20454612559521962,0.05664239645013877,0.09352906855490822,0.315563182635531,0.0003048021063496252,36145,12-23
H2_household_cluster_fe,whz,_water_hh_binary_x_0_5,0.1228802575612583,0.10114687584442933,-0.07536397624256756,0.32112449136508414,0.22441585655725382,36145,12-23
H2_household_cluster_fe,whz,_water_hh_binary_x_6_11,0.20913981757499353,0.09497306926624137,0.02299602231193254,0.3952836128380545,0.027658526763903533,36145,12-23
H2_household_cluster_fe,whz,_water_hh_binary_x_24_35,-0.06435863657893989,0.07822759874829707,-0.21768191272265278,0.08896463956477299,0.4106728631820462,36145,12-23
H2_household_cluster_fe,whz,_water_hh_binary_x_36_47,-0.023239743580932937,0.07297703452589102,-0.1662721029502154,0.11979261578834953,0.7501414655139986,36145,12-23
H2_household_cluster_fe,whz,_water_hh_binary_x_48_59,-0.008857115449466744,0.0688086875142052,-0.14371966480077983,0.12600543390184635,0.8975785056358243,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary_x_0_5,-0.16919203374431757,0.08945779516382985,-0.3445260904017855,0.006142022913150358,0.05858355445892669,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary_x_6_11,-0.17297217731247858,0.08840110518140441,-0.34623515966156837,0.0002908050366112469,0.05038576438924107,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary_x_24_35,-0.11914959626430906,0.0712710344108162,-0.25883825685042366,0.020539064321805564,0.0945674176609505,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary_x_36_47,-0.18297968197273043,0.06744331319477956,-0.3151661468325534,-0.05079321711290749,0.006665928780297919,36145,12-23
H2_household_cluster_fe,whz,_sani_hh_binary_x_48_59,-0.2765522316904988,0.06609162187678355,-0.4060894302488341,-0.14701503313216352,2.8594980822466805e-05,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_0-5,0.12170554661167637,0.09297652052159933,-0.060525085018507535,0.30393617824186026,,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_6-11,0.20796510662541162,0.08090856632187317,0.04938723059376987,0.3665429826570534,,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_12-23,-0.0011747109495819216,0.0582650253014028,-0.11537206209864641,0.11302264019948256,,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_24-35,-0.06553334752852182,0.0634206492193862,-0.18983553587466706,0.05876884081762343,,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_36-47,-0.02441445453051486,0.05914245713253889,-0.14033154046749513,0.0915026314064654,,36145,12-23
H2_implied_total_by_band,whz,_water_hh_binary__band_48-59,-0.010031826399048666,0.047103674678916685,-0.10235333230921666,0.08228967951111933,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_0-5,0.03535409185090205,0.08013783301130943,-0.12171317465034948,0.19242135835215357,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_6-11,0.03157394828274104,0.07645528165795276,-0.11827565019471217,0.18142354676019426,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_12-23,0.20454612559521962,0.05664239645013877,0.09352906855490822,0.315563182635531,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_24-35,0.08539652933091056,0.055314653616563514,-0.023018199574862175,0.1938112582366833,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_36-47,0.02156644362248919,0.053322054241006146,-0.0829428622715741,0.12607574951655248,,36145,12-23
H2_implied_total_by_band,whz,_sani_hh_binary__band_48-59,-0.07200610609527919,0.04673866098953646,-0.16361219832039786,0.019599986129839486,,36145,12-23
