robustness_family,model_label,outcome,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata,preferred_model_n,baseline_n,n_excluded_by_household_wash_states
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,maternal_education_Secondary,0.20386019181783452,0.04486146994477474,0.11593332643254994,0.2917870572031191,5.514019698589523e-06,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,literacy_Able to read only parts of sentence,0.061540275557985635,0.042163220895305074,-0.021098118869018967,0.14417866998499024,0.14440761591106652,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,literacy_Able to read whole sentence,0.205947249207581,0.03728037828280309,0.13287905044325776,0.27901544797190425,3.3083944100410696e-08,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,literacy_Blind/visually impaired,0.6758848675451903,0.24393873243118694,0.19777373754571104,1.1539959975446696,0.0055933245641595795,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,literacy_No card with required language,0.4893438784678101,0.27409995706225054,-0.0478821655381762,1.0265699224737963,0.07421667596612803,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,wealth_quintile_Middle,0.12156234607317379,0.03903937553716071,0.04504657604140476,0.1980781161049428,0.001846699727642536,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,wealth_quintile_Poorer,0.06440673672375175,0.03374482941094746,-0.0017319135861532386,0.13054538703365673,0.056308527034231344,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,wealth_quintile_Richer,0.15724307055763717,0.04628109412179646,0.06653379291380772,0.2479523482014666,0.0006798819256427862,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,wealth_quintile_Richest,0.40409484174819743,0.059932651145617535,0.28662900400478386,0.521560679491611,1.557031764710721e-11,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
household_wash_baseline,section_9_1_transparent_baseline_no_fe,waz,pooled,residence_Urban,-0.0641708666286693,0.03162112975347198,-0.1261471420959423,-0.0021945911613963087,0.04242095780252693,36308,4426,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}",37260,36308,952
