outcome,model,country_scope,term,coefficient,standard_error,ci_lower,ci_upper,p_value,estimation_n,psu_count,fe_region_count,weight_method,clustering_method,fe_included,reference_category_metadata
haz,3,pooled,wealth_quintile_Richer,0.06508610956113571,0.05544204988109693,-0.04357831143488747,0.1737505305571589,0.24041566683909732,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,wealth_quintile_Richest,0.31236342295422825,0.06738306569827267,0.1802950410177175,0.44443180489073897,3.5584019662439953e-06,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,pooled,residence_Urban,0.03877650924576155,0.03795754312082723,-0.0356189082126859,0.113171926704209,0.3069816942517559,36985,4434,0,model_specific_equal_total_country_weight,cluster_robust_country_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,const,-1.3034344230206159,0.222106777207417,-1.7387557070694148,-0.8681131389718167,4.3974583685001005e-09,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,water_rate_loo,-0.08675751920465793,0.13774525818270067,-0.3567332642839224,0.18321822587460654,0.5287990545392057,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,sanitation_rate_loo_core,0.20023715515052629,0.13487260264226614,-0.0641082885294971,0.46458259883054964,0.13763942109599356,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,b19_raw,-0.026093268576125563,0.001643668692728493,-0.029314800016389444,-0.022871737135861683,9.438520540683309e-57,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,birth_order_raw,-0.0499216945796756,0.02599870194586819,-0.10087821403836866,0.0010348248790174666,0.05483756102546114,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,maternal_age,0.017884655305177004,0.007860314565726584,0.002478721849197304,0.0332905887611567,0.022887317325213735,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
haz,3,ethiopia,household_size_raw,0.0002544484535130762,0.021076938538043627,-0.04105559198541673,0.04156448889244289,0.9903678818967991,5843,787,0,weight_original,cluster_robust_psu,False,"{'child_sex': {'reference': 'Male', 'reference_column': 'child_sex_Male'}, 'maternal_education': {'reference': 'No education', 'reference_column': 'maternal_education_No education'}, 'literacy': {'reference': 'Cannot read at all', 'reference_column': 'literacy_Cannot read at all'}, 'wealth_quintile': {'reference': 'Poorest', 'reference_column': 'wealth_quintile_Poorest'}, 'residence': {'reference': 'Rural', 'reference_column': 'residence_Rural'}}"
